gps latitude,gps longitude,ssid,size
-33.919357,151.230046,9,20
-33.919337,151.229768,9,20
-33.919321,151.229154,18,20
-33.919315,151.229925,26,20
-33.919311,151.22948,8,20
-33.919311,151.22999,9,20
-33.919301,151.229152,18,20
-33.919289,151.228852,49,20
-33.919269,151.229257,9,20
-33.91926,151.229881,9,20
-33.919244,151.229648,10,20
-33.919219,151.229389,10,20
-33.919213,151.23002,6,20
-33.919208,151.23003,7,20
-33.919207,151.227881,30,20
-33.919196,151.229114,12,20
-33.919192,151.227866,24,20
-33.919181,151.228841,6,20
-33.919174,151.227991,9,20
-33.919147,151.228744,15,20
-33.919138,151.228264,8,20
-33.919137,151.229767,10,20
-33.919126,151.227736,13,20
-33.919122,151.230056,22,20
-33.919117,151.228644,12,20
-33.919106,151.228574,10,20
-33.919104,151.229124,11,20
-33.91909,151.229158,13,20
-33.919088,151.228308,10,20
-33.919088,151.230104,7,20
-33.919086,151.230012,14,20
-33.919078,151.227348,15,20
-33.919074,151.229828,10,20
-33.919061,151.230021,5,20
-33.919047,151.228217,5,20
-33.919035,151.229415,10,20
-33.919019,151.229436,8,20
-33.919016,151.228861,8,20
-33.919012,151.227886,8,20
-33.91901,151.228938,6,20
-33.919009,151.227912,19,20
-33.918998,151.228175,12,20
-33.918987,151.227681,9,20
-33.918982,151.228337,18,20
-33.918978,151.22972,13,20
-33.918969,151.228992,9,20
-33.918967,151.227672,12,20
-33.918962,151.230722,19,20
-33.918961,151.229859,28,20
-33.91895,151.230657,10,20
-33.918946,151.230767,7,20
-33.918945,151.230178,39,20
-33.918942,151.228274,5,20
-33.918938,151.230033,7,20
-33.918933,151.230058,8,20
-33.918933,151.230579,7,20
-33.91893,151.229302,11,20
-33.918925,151.230898,7,20
-33.918922,151.229002,16,20
-33.918917,151.22774,15,20
-33.91891,151.230886,6,20
-33.918908,151.227888,9,20
-33.918906,151.228884,8,20
-33.918905,151.230348,7,20
-33.918902,151.230718,6,20
-33.918899,151.229687,15,20
-33.918891,151.22811,9,20
-33.918882,151.228605,19,20
-33.918876,151.227348,15,20
-33.918873,151.229947,23,20
-33.918868,151.227049,16,20
-33.918867,151.230222,6,20
-33.918865,151.227151,14,20
-33.918864,151.22934,13,20
-33.918863,151.227054,23,20
-33.918861,151.227501,10,20
-33.918861,151.230346,5,20
-33.918859,151.228025,14,20
-33.918858,151.230482,6,20
-33.918856,151.22999,27,20
-33.918848,151.230168,14,20
-33.918843,151.229116,11,20
-33.918842,151.228964,7,20
-33.918842,151.230034,18,20
-33.91884,151.230193,8,20
-33.918839,151.229895,14,20
-33.918838,151.228572,57,20
-33.918833,151.227322,83,20
-33.918825,151.229159,12,20
-33.918822,151.228333,6,20
-33.91882,151.228248,9,20
-33.918796,151.229591,14,20
-33.918794,151.230042,6,20
-33.91879,151.230975,33,20
-33.918785,151.228993,40,20
-33.918784,151.228946,8,20
-33.918778,151.227035,22,20
-33.918778,151.22929,12,20
-33.918777,151.229859,28,20
-33.918776,151.230084,8,20
-33.918774,151.228568,10,20
-33.91876,151.228965,13,20
-33.918758,151.230924,6,20
-33.918756,151.228018,19,20
-33.91875,151.230148,6,20
-33.918746,151.230835,12,20
-33.918742,151.228368,6,20
-33.918741,151.228981,26,20
-33.918735,151.227299,16,20
-33.918722,151.228338,10,20
-33.918713,151.227841,10,20
-33.918702,151.230951,6,20
-33.9187,151.227999,46,20
-33.918695,151.228424,6,20
-33.918694,151.227742,12,20
-33.918693,151.227446,19,20
-33.918689,151.22985,15,20
-33.918687,151.228961,8,20
-33.918681,151.229026,16,20
-33.918675,151.229,6,20
-33.918669,151.227604,63,20
-33.918665,151.228964,12,20
-33.918665,151.229979,14,20
-33.918664,151.228783,12,20
-33.918639,151.229492,11,20
-33.918633,151.230849,18,20
-33.91862,151.228444,5,20
-33.918615,151.228868,51,20
-33.918607,151.228137,6,20
-33.918603,151.229208,11,20
-33.918588,151.230972,5,20
-33.918572,151.229239,14,20
-33.918569,151.228193,12,20
-33.918563,151.231004,4,20
-33.918559,151.228452,5,20
-33.918542,151.227452,9,20
-33.918538,151.226968,17,20
-33.918536,151.229008,8,20
-33.918534,151.22873,49,20
-33.918533,151.227733,14,20
-33.918529,151.227666,17,20
-33.918523,151.228288,9,20
-33.91852,151.229719,8,20
-33.918514,151.227913,14,20
-33.918504,151.229514,12,20
-33.91849,151.228901,11,20
-33.918488,151.22849,4,20
-33.918488,151.231115,26,20
-33.918487,151.228587,53,20
-33.918479,151.227275,15,20
-33.918452,151.228878,4,20
-33.918445,151.231011,4,20
