ssid
9
9
18
26
8
9
18
49
9
9
10
10
6
7
30
12
24
6
9
15
8
10
13
22
12
10
11
13
10
7
14
15
10
5
5
10
8
8
8
6
19
12
9
18
13
9
12
19
28
10
7
39
5
7
8
7
11
7
16
15
6
9
8
7
6
15
9
19
15
23
16
6
14
13
23
10
5
14
6
27
14
11
7
18
8
14
57
83
12
6
9
14
6
33
40
8
22
12
28
8
10
13
6
19
6
12
6
26
16
10
10
6
46
6
12
19
15
8
16
6
63
12
14
12
11
18
5
51
6
11
5
14
12
4
5
9
17
8
49
14
17
9
8
14
12
11
4
26
53
15
4
4
12
4
11
10
9
66
6
17
11
57
8
4
32
17
4
83
4
4
19
4
6
6
14
4
4
4
4
4
7
22
5
6
2
4
3
9
5
5
4
4
8
5
4
13
4
2
8
6
38
2
84
4
41
11
17
4
2
8
2
4
3
3
10
2
2
4
4
2
5
4
4
4
2
7
4
6
21
5
9
3
5
6
14
32
4
4
5
9
13
3
3
50
26
7
4
10
28
3
10
11
4
4
5
4
3
4
5
12
5
5
3
4
13
4
7
5
18
11
4
30
5
86
8
4
5
6
4
4
4
5
3
4
56
22
4
7
13
5
45
11
8
4
8
5
51
6
44
5
10
11
4
30
33
4
28
24
7
4
23
4
16
4
6
5
4
36
14
12
8
4
22
4
7
12
6
3
5
4
4
4
8
11
44
4
4
6
4
4
4
32
47
21
25
5
28
6
8
22
20
20
19
27
6
20
2
10
16
7
5
19
1
15
20
6
34
4
6
2
4
4
66
14
6
4
4
5
63
7
6
15
19
