gps latitude,gps longitude,ssid,size
-33.91815,151.230998,5,20
-33.918148,151.22867,1,20
-33.918142,151.228673,1,20
-33.918136,151.231747,4,20
-33.918134,151.229172,8,20
-33.918134,151.231461,4,20
-33.918131,151.228682,1,20
-33.91813,151.231346,4,20
-33.918129,151.231635,3,20
-33.918128,151.231105,4,20
-33.918125,151.228687,1,20
-33.918125,151.231599,4,20
-33.918124,151.231083,5,20
-33.918123,151.231914,4,20
-33.91812,151.231518,3,20
-33.918115,151.232119,4,20
-33.918114,151.22869,1,20
-33.918112,151.231231,4,20
-33.91811,151.228065,7,20
-33.91811,151.231423,4,20
-33.918105,151.231851,5,20
-33.918103,151.228696,1,20
-33.918102,151.226905,9,20
-33.918097,151.2287,1,20
-33.918095,151.231341,5,20
-33.918092,151.227229,4,20
-33.91809,151.230901,5,20
-33.918087,151.228706,1,20
-33.918086,151.232153,6,20
-33.918082,151.23216,5,20
-33.918074,151.228715,1,20
-33.918071,151.231706,10,20
-33.918067,151.227034,8,20
-33.918064,151.231324,4,20
-33.918064,151.232151,4,20
-33.918062,151.228725,1,20
-33.918056,151.231937,5,20
-33.918054,151.227554,8,20
-33.918053,151.228196,10,20
-33.918052,151.231209,4,20
-33.91805,151.22873,1,20
-33.918047,151.231125,4,20
-33.918046,151.227193,15,20
-33.918045,151.228785,15,20
-33.918044,151.231949,5,20
-33.918043,151.228732,1,20
-33.918042,151.232089,4,20
-33.918038,151.229166,8,20
-33.918033,151.231085,16,20
-33.918031,151.228738,1,20
-33.91803,151.231017,4,20
-33.918028,151.227305,6,20
-33.918025,151.228745,5,20
-33.918024,151.230858,5,20
-33.918022,151.228745,1,20
-33.918022,151.231967,4,20
-33.918009,151.228753,1,20
-33.918009,151.231737,5,20
-33.918009,151.231896,4,20
-33.918003,151.23084,5,20
-33.917998,151.229106,6,20
-33.917997,151.228763,1,20
-33.917997,151.231968,6,20
-33.917994,151.228206,5,20
-33.917993,151.228769,1,20
-33.917993,151.231506,5,20
-33.917989,151.231812,6,20
-33.917985,151.228781,1,20
-33.917985,151.230911,4,20
-33.917978,151.231768,4,20
-33.917974,151.228788,1,20
-33.917969,151.231415,14,20
-33.917966,151.231606,4,20
-33.917963,151.228793,1,20
-33.917963,151.231723,5,20
-33.917959,151.231299,4,20
-33.917958,151.227628,7,20
-33.917954,151.228798,1,20
-33.917953,151.227574,6,20
-33.917952,151.231965,4,20
-33.91795,151.227191,10,20
-33.917949,151.228803,1,20
-33.917946,151.231476,5,20
-33.917943,151.227182,24,20
-33.917943,151.22856,5,20
-33.917942,151.23163,6,20
-33.91794,151.231289,4,20
-33.917939,151.229243,8,20
-33.917939,151.231488,4,20
-33.917937,151.228993,4,20
-33.917936,151.228814,1,20
-33.917936,151.232119,5,20
-33.917934,151.231241,5,20
-33.917932,151.231532,7,20
-33.917929,151.232118,5,20
-33.917927,151.227396,13,20
-33.917927,151.228817,1,20
-33.917927,151.231755,11,20
-33.917926,151.231512,7,20
-33.917922,151.228819,1,20
-33.917917,151.230923,4,20
-33.917914,151.228823,1,20
-33.917912,151.230613,12,20
-33.917911,151.231184,4,20
-33.91791,151.227274,7,20
-33.917906,151.230506,7,20
-33.917904,151.230943,4,20
-33.917902,151.228828,1,20
-33.917902,151.231593,4,20
-33.917896,151.228834,1,20
-33.91789,151.228395,9,20
-33.917882,151.228855,1,20
-33.91787,151.231259,4,20
-33.917868,151.22813,12,20
-33.917867,151.22886,1,20
-33.917865,151.229266,8,20
-33.917864,151.23104,19,20
-33.917858,151.227591,6,20
-33.917848,151.227436,6,20
-33.917846,151.22855,5,20
-33.917843,151.228878,3,20
-33.917843,151.229114,6,20
-33.917826,151.227474,10,20
-33.917817,151.230238,16,20
-33.917816,151.228892,3,20
-33.917814,151.228187,5,20
-33.917805,151.228344,6,20
-33.917797,151.228903,3,20
-33.917785,151.230051,6,20
-33.917782,151.229511,8,20
-33.917773,151.229275,4,20
-33.917773,151.230878,12,20
-33.917767,151.227856,5,20
