ssid
5
5
17
14
5
6
13
16
5
6
4
4
5
6
13
4
12
6
6
4
5
6
7
13
6
5
4
4
7
6
4
7
6
5
7
6
4
4
7
6
6
8
7
6
5
4
4
11
11
8
7
15
7
6
4
7
5
7
4
4
6
7
5
8
5
5
6
7
5
13
7
5
5
5
6
6
5
4
5
9
7
5
6
5
5
6
22
24
4
4
9
4
6
15
13
6
5
4
22
5
4
7
5
8
7
4
4
19
6
4
4
6
12
4
4
8
5
6
4
6
26
10
7
6
6
17
4
13
6
6
4
6
10
5
4
7
7
6
38
9
6
9
7
7
7
6
4
16
32
5
4
5
10
4
6
9
4
20
7
6
5
14
6
4
16
7
3
13
4
4
7
3
3
4
4
4
5
4
3
4
7
8
4
4
5
5
5
5
4
4
4
5
7
4
4
10
3
4
7
5
19
5
35
4
15
10
13
4
5
6
4
3
5
1
1
4
8
4
1
4
3
4
1
4
5
4
3
4
1
4
7
4
5
1
9
1
5
4
5
1
6
5
1
10
8
4
4
1
5
8
10
4
1
4
15
15
5
1
4
8
16
1
4
6
5
5
1
4
1
5
4
5
6
1
6
5
1
5
6
1
4
4
1
14
4
1
5
4
7
1
6
4
10
1
5
24
5
6
4
8
4
4
1
5
5
7
5
13
1
11
7
1
4
1
12
4
7
7
4
1
4
1
9
1
4
12
1
8
19
6
6
5
3
6
10
16
3
5
6
3
6
8
4
12
5
13
3
5
6
6
9
6
5
5
3
7
3
6
6
8
6
5
1
3
3
3
5
5
17
3
6
6
3
3
3
27
7
12
21
8
11
5
7
9
13
11
10
17
6
7
6
4
6
8
7
4
13
4
16
4
5
4
5
5
5
5
5
11
9
5
5
5
5
16
5
6
12
6
