,Date, Signal(dBm), Noise(dBm), Channel, Security, Mode,SSID,BSSID,Unnamed: 6
46,11/10/2566 BE 17:28:32, -84, -93, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D,
47,11/10/2566 BE 17:27:53, -90, -95, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D,
48,11/10/2566 BE 17:27:41, -90, -95, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D,
49,11/10/2566 BE 17:27:28, -90, -95, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D,
50,11/10/2566 BE 17:36:34, -91, -94, 64, WPA2-Enterprise, ac,[Hidden SSID] ,00-EA-BD-DB-D1-EA,
51,11/10/2566 BE 17:36:21, -91, -94, 64, WPA2-Enterprise, ac,[Hidden SSID] ,00-EA-BD-DB-D1-EA,
52,11/10/2566 BE 17:36:08, -91, -94, 64, WPA2-Enterprise, ac,[Hidden SSID] ,00-EA-BD-DB-D1-EA,
53,11/10/2566 BE 17:34:50, -89, -95, 64, WPA2-Enterprise, ac,[Hidden SSID] ,00-EA-BD-DB-D1-EA,
54,11/10/2566 BE 17:34:37, -89, -95, 64, WPA2-Enterprise, ac,[Hidden SSID] ,00-EA-BD-DB-D1-EA,
55,11/10/2566 BE 17:33:58, -84, -84, 6, WPA2-Personal, g/n,[Hidden SSID] ,08-CC-68-B4-DB-15,
56,11/10/2566 BE 17:33:46, -84, -84, 6, WPA2-Personal, g/n,[Hidden SSID] ,08-CC-68-B4-DB-15,
57,11/10/2566 BE 17:33:33, -84, -84, 6, WPA2-Personal, g/n,[Hidden SSID] ,08-CC-68-B4-DB-15,
58,11/10/2566 BE 17:24:16, -74, -81, 11, WPA2-Personal, b/g/n,AD_401_RAC_056905_WW-9307 ,DE-03-98-FD-93-07,
59,11/10/2566 BE 17:21:11, -74, -79, 11, WPA2-Personal, b/g/n,AD_401_RAC_056905_WW-9307 ,DE-03-98-FD-93-07,
60,11/10/2566 BE 17:20:58, -74, -79, 11, WPA2-Personal, b/g/n,AD_401_RAC_056905_WW-9307 ,DE-03-98-FD-93-07,
61,11/10/2566 BE 17:18:42, -84, -84, 11, WPA2-Personal, b/g/n,AD_401_RAC_056905_WW-9307 ,DE-03-98-FD-93-07,
62,11/10/2566 BE 17:18:14, -84, -84, 11, WPA2-Personal, b/g/n,AD_401_RAC_056905_WW-9307 ,DE-03-98-FD-93-07,
63,11/10/2566 BE 17:17:10, -86, -94, 132, WPA2-Enterprise, a/n,Global_Students ,F0-9E-63-14-94-AC,
64,11/10/2566 BE 17:16:57, -86, -94, 132, WPA2-Enterprise, a/n,Global_Students ,F0-9E-63-14-94-AC,
65,11/10/2566 BE 17:16:44, -86, -94, 132, WPA2-Enterprise, a/n,Global_Students ,F0-9E-63-14-94-AC,
66,11/10/2566 BE 17:16:34, -88, -95, 132, WPA2-Enterprise, a/n,Global_Students ,F0-9E-63-14-94-AC,
67,11/10/2566 BE 17:16:21, -88, -95, 132, WPA2-Enterprise, a/n,Global_Students ,F0-9E-63-14-94-AC,
68,11/10/2566 BE 17:16:09, -94, -95, 132, WPA2-Enterprise, a/n,Global_Students ,F0-9E-63-14-94-AC,
69,11/10/2566 BE 17:17:10, -78, -86, 6, Open, g/n,UNSW Guest ,5C-E1-76-0A-20-E2,
70,11/10/2566 BE 17:16:57, -78, -86, 6, Open, g/n,UNSW Guest ,5C-E1-76-0A-20-E2,
71,11/10/2566 BE 17:16:44, -73, -88, 6, Open, g/n,UNSW Guest ,5C-E1-76-0A-20-E2,
72,11/10/2566 BE 17:16:34, -73, -88, 6, Open, g/n,UNSW Guest ,5C-E1-76-0A-20-E2,
73,11/10/2566 BE 17:16:21, -80, -91, 6, Open, g/n,UNSW Guest ,5C-E1-76-0A-20-E2,
74,11/10/2566 BE 17:39:24, -83, -95, 48, Open, ac,UNSW Guest ,08-CC-68-B4-A3-DC,
75,11/10/2566 BE 17:39:11, -83, -95, 48, Open, ac,UNSW Guest ,08-CC-68-B4-A3-DC,
76,11/10/2566 BE 17:38:58, -83, -95, 48, Open, ac,UNSW Guest ,08-CC-68-B4-A3-DC,
77,11/10/2566 BE 17:38:46, -69, -93, 48, Open, ac,UNSW Guest ,08-CC-68-B4-A3-DC,
78,11/10/2566 BE 17:38:29, -67, -92, 48, Open, ac,UNSW Guest ,08-CC-68-B4-A3-DC,
79,11/10/2566 BE 17:38:16, -72, -94, 48, Open, ac,UNSW Guest ,08-CC-68-B4-A3-DC,
80,11/10/2566 BE 17:37:50, -89, -95, 48, Open, ac,UNSW Guest ,08-CC-68-B4-A3-DC,
81,11/10/2566 BE 17:37:37, -89, -95, 48, Open, ac,UNSW Guest ,08-CC-68-B4-A3-DC,
82,11/10/2566 BE 17:33:08, -92, -93, 48, Open, ac,UNSW Guest ,08-CC-68-B4-A3-DC,
83,11/10/2566 BE 17:32:55, -92, -93, 48, Open, ac,UNSW Guest ,08-CC-68-B4-A3-DC,
84,11/10/2566 BE 17:32:40, -80, -96, 48, Open, ac,UNSW Guest ,08-CC-68-B4-A3-DC,
85,11/10/2566 BE 17:32:27, -80, -96, 48, Open, ac,UNSW Guest ,08-CC-68-B4-A3-DC,
86,11/10/2566 BE 17:32:15, -75, -94, 48, Open, ac,UNSW Guest ,08-CC-68-B4-A3-DC,
87,11/10/2566 BE 17:31:59, -71, -92, 48, Open, ac,UNSW Guest ,08-CC-68-B4-A3-DC,
88,11/10/2566 BE 17:31:45, -66, -92, 48, Open, ac,UNSW Guest ,08-CC-68-B4-A3-DC,
89,11/10/2566 BE 17:31:29, -80, -96, 48, Open, ac,UNSW Guest ,08-CC-68-B4-A3-DC,
90,11/10/2566 BE 17:38:16, -82, -94, 108, Open, ac,UNSW Guest ,08-CC-68-B4-69-7C,
91,11/10/2566 BE 17:38:03, -82, -94, 108, Open, ac,UNSW Guest ,08-CC-68-B4-69-7C,
92,11/10/2566 BE 17:37:50, -82, -94, 108, Open, ac,UNSW Guest ,08-CC-68-B4-69-7C,
93,11/10/2566 BE 17:35:54, -81, -87, 6, WPA2-Enterprise, g/n,Global_Students ,00-EA-BD-E3-C1-32,
94,11/10/2566 BE 17:35:41, -81, -87, 6, WPA2-Enterprise, g/n,Global_Students ,00-EA-BD-E3-C1-32,
95,11/10/2566 BE 17:35:28, -81, -87, 6, WPA2-Enterprise, g/n,Global_Students ,00-EA-BD-E3-C1-32,
96,11/10/2566 BE 17:39:11, -82, -82, 1, Open, g/n,UNSW Guest ,4C-E1-76-F3-70-43,
97,11/10/2566 BE 17:38:58, -82, -82, 1, Open, g/n,UNSW Guest ,4C-E1-76-F3-70-43,
98,11/10/2566 BE 17:39:51, -80, -92, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
99,11/10/2566 BE 17:39:38, -80, -92, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
100,11/10/2566 BE 17:39:24, -80, -92, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
101,11/10/2566 BE 17:39:11, -80, -96, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
102,11/10/2566 BE 17:38:58, -77, -95, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
103,11/10/2566 BE 17:38:46, -83, -93, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
104,11/10/2566 BE 17:38:29, -93, -93, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
105,11/10/2566 BE 17:38:16, -93, -93, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
106,11/10/2566 BE 17:31:59, -81, -96, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
107,11/10/2566 BE 17:31:45, -81, -96, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
108,11/10/2566 BE 17:31:29, -81, -96, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
109,11/10/2566 BE 17:31:16, -82, -95, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
110,11/10/2566 BE 17:31:04, -77, -94, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
