,Date, Signal(dBm), Noise(dBm), Channel, Security, Mode,SSID,BSSID,Unnamed: 6
8662,11/10/2566 BE 17:15:56, -90, -96, 108, WPA2-Personal, ac,[Hidden SSID] ,A0-0F-37-4C-9F-8A,
8663,11/10/2566 BE 17:15:43, -90, -96, 108, WPA2-Personal, ac,[Hidden SSID] ,A0-0F-37-4C-9F-8A,
8664,11/10/2566 BE 17:15:31, -90, -96, 108, WPA2-Personal, ac,[Hidden SSID] ,A0-0F-37-4C-9F-8A,
8665,11/10/2566 BE 17:40:16, -75, -95, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8666,11/10/2566 BE 17:40:03, -75, -95, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8667,11/10/2566 BE 17:39:51, -75, -95, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8668,11/10/2566 BE 17:39:38, -68, -92, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8669,11/10/2566 BE 17:39:24, -68, -92, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8670,11/10/2566 BE 17:39:11, -73, -96, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8671,11/10/2566 BE 17:31:45, -84, -95, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8672,11/10/2566 BE 17:31:29, -84, -95, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8673,11/10/2566 BE 17:31:16, -84, -95, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8674,11/10/2566 BE 17:30:11, -76, -93, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8675,11/10/2566 BE 17:29:58, -76, -93, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8676,11/10/2566 BE 17:29:45, -76, -93, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8677,11/10/2566 BE 17:29:19, -82, -93, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8678,11/10/2566 BE 17:29:06, -82, -93, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8679,11/10/2566 BE 17:28:56, -76, -94, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8680,11/10/2566 BE 17:28:43, -76, -94, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8681,11/10/2566 BE 17:26:50, -84, -94, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8682,11/10/2566 BE 17:26:36, -84, -94, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8683,11/10/2566 BE 17:26:23, -84, -94, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8684,11/10/2566 BE 17:21:11, -85, -95, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8685,11/10/2566 BE 17:20:58, -85, -95, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8686,11/10/2566 BE 17:20:46, -85, -95, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8687,11/10/2566 BE 17:20:34, -91, -95, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8688,11/10/2566 BE 17:20:21, -90, -96, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8689,11/10/2566 BE 17:20:09, -90, -96, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8690,11/10/2566 BE 17:19:57, -90, -96, 52, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-E0-1F-2F,
8691,11/10/2566 BE 17:24:42, -87, -82, 6, Open, b/g/n,"Sophie’s lair speaker.o, ",FA-8F-CA-37-75-FD,
8692,11/10/2566 BE 17:24:29, -87, -82, 6, Open, b/g/n,"Sophie’s lair speaker.o, ",FA-8F-CA-37-75-FD,
8693,11/10/2566 BE 17:24:16, -87, -82, 6, Open, b/g/n,"Sophie’s lair speaker.o, ",FA-8F-CA-37-75-FD,
8694,11/10/2566 BE 17:15:18, -85, -86, 8, WPA2-Personal, ax,MEREAVIE_POWER ,7C-10-C9-02-F2-D0,
8695,11/10/2566 BE 17:15:05, -85, -86, 8, WPA2-Personal, ax,MEREAVIE_POWER ,7C-10-C9-02-F2-D0,
8696,11/10/2566 BE 17:14:52, -85, -86, 8, WPA2-Personal, ax,MEREAVIE_POWER ,7C-10-C9-02-F2-D0,
8697,11/10/2566 BE 17:25:33, -84, -92, 44, WPA2-Personal, ac,NC Admin ,D8-38-FC-5F-18-4C,
8698,11/10/2566 BE 17:25:20, -84, -92, 44, WPA2-Personal, ac,NC Admin ,D8-38-FC-5F-18-4C,
8699,11/10/2566 BE 17:25:07, -84, -92, 44, WPA2-Personal, ac,NC Admin ,D8-38-FC-5F-18-4C,
8700,11/10/2566 BE 17:36:34, -86, -94, 100, WPA2-Personal, ac,[Hidden SSID] ,08-CC-68-B5-C4-FA,
8701,11/10/2566 BE 17:36:21, -86, -94, 100, WPA2-Personal, ac,[Hidden SSID] ,08-CC-68-B5-C4-FA,
8702,11/10/2566 BE 17:36:08, -86, -94, 100, WPA2-Personal, ac,[Hidden SSID] ,08-CC-68-B5-C4-FA,
8703,11/10/2566 BE 17:35:54, -93, -92, 100, WPA2-Personal, ac,[Hidden SSID] ,08-CC-68-B5-C4-FA,
8704,11/10/2566 BE 17:40:28, -77, -94, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8705,11/10/2566 BE 17:40:16, -77, -94, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8706,11/10/2566 BE 17:40:03, -77, -94, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8707,11/10/2566 BE 17:39:51, -79, -94, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8708,11/10/2566 BE 17:39:38, -73, -95, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8709,11/10/2566 BE 17:39:24, -69, -94, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8710,11/10/2566 BE 17:39:11, -74, -92, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8711,11/10/2566 BE 17:31:45, -83, -95, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8712,11/10/2566 BE 17:31:29, -83, -95, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8713,11/10/2566 BE 17:31:16, -83, -95, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8714,11/10/2566 BE 17:31:04, -71, -92, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8715,11/10/2566 BE 17:30:51, -74, -91, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8716,11/10/2566 BE 17:30:38, -74, -91, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8717,11/10/2566 BE 17:30:24, -72, -95, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8718,11/10/2566 BE 17:30:11, -72, -92, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8719,11/10/2566 BE 17:29:58, -74, -93, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8720,11/10/2566 BE 17:29:45, -74, -93, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8721,11/10/2566 BE 17:29:32, -72, -94, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8722,11/10/2566 BE 17:29:19, -71, -94, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8723,11/10/2566 BE 17:29:06, -70, -95, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8724,11/10/2566 BE 17:28:56, -73, -94, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8725,11/10/2566 BE 17:28:43, -70, -94, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8726,11/10/2566 BE 17:28:32, -72, -95, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8727,11/10/2566 BE 17:28:19, -72, -95, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8728,11/10/2566 BE 17:28:06, -78, -95, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8729,11/10/2566 BE 17:27:53, -75, -92, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8730,11/10/2566 BE 17:27:41, -75, -92, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8731,11/10/2566 BE 17:27:28, -75, -92, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8732,11/10/2566 BE 17:27:15, -72, -95, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8733,11/10/2566 BE 17:27:02, -74, -94, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8734,11/10/2566 BE 17:26:50, -77, -96, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8735,11/10/2566 BE 17:26:36, -73, -95, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8736,11/10/2566 BE 17:26:23, -75, -87, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8737,11/10/2566 BE 17:26:11, -87, -93, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8738,11/10/2566 BE 17:25:58, -87, -93, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8739,11/10/2566 BE 17:25:20, -88, -95, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8740,11/10/2566 BE 17:25:07, -88, -95, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8741,11/10/2566 BE 17:23:09, -82, -94, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8742,11/10/2566 BE 17:22:56, -82, -94, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8743,11/10/2566 BE 17:22:43, -82, -94, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8744,11/10/2566 BE 17:22:00, -79, -96, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8745,11/10/2566 BE 17:21:11, -79, -96, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8746,11/10/2566 BE 17:20:58, -79, -96, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8747,11/10/2566 BE 17:20:46, -77, -95, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8748,11/10/2566 BE 17:20:34, -76, -91, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8749,11/10/2566 BE 17:20:21, -76, -91, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8750,11/10/2566 BE 17:20:09, -78, -95, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8751,11/10/2566 BE 17:19:57, -71, -95, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8752,11/10/2566 BE 17:17:22, -89, -96, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8753,11/10/2566 BE 17:17:10, -89, -96, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8754,11/10/2566 BE 17:16:57, -89, -96, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-5F-DB,
8755,11/10/2566 BE 17:18:01, -87, -88, 6, WPA2-Enterprise, g/n,[Hidden SSID] ,F0-9E-63-14-95-65,
8756,11/10/2566 BE 17:17:48, -87, -88, 6, WPA2-Enterprise, g/n,[Hidden SSID] ,F0-9E-63-14-95-65,
8757,11/10/2566 BE 17:17:35, -87, -88, 6, WPA2-Enterprise, g/n,[Hidden SSID] ,F0-9E-63-14-95-65,
8758,11/10/2566 BE 17:17:10, -85, -86, 6, WPA2-Enterprise, g/n,[Hidden SSID] ,F0-9E-63-14-95-65,
8759,11/10/2566 BE 17:16:57, -85, -86, 6, WPA2-Enterprise, g/n,[Hidden SSID] ,F0-9E-63-14-95-65,
8760,11/10/2566 BE 17:16:44, -73, -88, 6, WPA2-Enterprise, g/n,[Hidden SSID] ,F0-9E-63-14-95-65,
8761,11/10/2566 BE 17:16:34, -73, -88, 6, WPA2-Enterprise, g/n,[Hidden SSID] ,F0-9E-63-14-95-65,
8762,11/10/2566 BE 17:15:43, -84, -85, 6, WPA2-Enterprise, g/n,[Hidden SSID] ,F0-9E-63-14-95-65,
8763,11/10/2566 BE 17:15:31, -84, -85, 6, WPA2-Enterprise, g/n,[Hidden SSID] ,F0-9E-63-14-95-65,
8764,11/10/2566 BE 17:15:18, -84, -85, 6, WPA2-Enterprise, g/n,[Hidden SSID] ,F0-9E-63-14-95-65,
8765,11/10/2566 BE 17:38:16, -87, -95, 149, WPA2-Enterprise, ac,[Hidden SSID] ,1C-E6-C7-3E-17-A2,
8766,11/10/2566 BE 17:38:03, -87, -95, 149, WPA2-Enterprise, ac,[Hidden SSID] ,1C-E6-C7-3E-17-A2,
8767,11/10/2566 BE 17:37:50, -87, -95, 149, WPA2-Enterprise, ac,[Hidden SSID] ,1C-E6-C7-3E-17-A2,
8768,11/10/2566 BE 17:33:20, -68, -93, 149, WPA2-Enterprise, ac,[Hidden SSID] ,1C-E6-C7-3E-17-A2,
8769,11/10/2566 BE 17:33:08, -68, -93, 149, WPA2-Enterprise, ac,[Hidden SSID] ,1C-E6-C7-3E-17-A2,
8770,11/10/2566 BE 17:32:55, -68, -93, 149, WPA2-Enterprise, ac,[Hidden SSID] ,1C-E6-C7-3E-17-A2,
8771,11/10/2566 BE 17:16:09, -88, -96, 64, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-5B-30-13,
8772,11/10/2566 BE 17:15:56, -88, -96, 64, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-5B-30-13,
8773,11/10/2566 BE 17:15:43, -88, -96, 64, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-5B-30-13,
8774,11/10/2566 BE 17:37:50, -76, -83, 11, WPA2-Personal, g/n,[Hidden SSID] ,08-CC-68-B4-F3-B4,
8775,11/10/2566 BE 17:37:37, -76, -83, 11, WPA2-Personal, g/n,[Hidden SSID] ,08-CC-68-B4-F3-B4,
8776,11/10/2566 BE 17:32:15, -76, -92, 40, WPA2-Enterprise, ac,uniwide ,08-CC-68-B4-82-8E,
8777,11/10/2566 BE 17:31:59, -76, -92, 40, WPA2-Enterprise, ac,uniwide ,08-CC-68-B4-82-8E,
8778,11/10/2566 BE 17:31:45, -76, -92, 40, WPA2-Enterprise, ac,uniwide ,08-CC-68-B4-82-8E,
8779,11/10/2566 BE 17:23:47, -71, -80, 6, WPA2-Personal, b/g/n,[Hidden SSID] ,86-45-58-21-19-9E,
8780,11/10/2566 BE 17:23:34, -71, -80, 6, WPA2-Personal, b/g/n,[Hidden SSID] ,86-45-58-21-19-9E,
8781,11/10/2566 BE 17:23:21, -71, -80, 6, WPA2-Personal, b/g/n,[Hidden SSID] ,86-45-58-21-19-9E,
8782,11/10/2566 BE 17:22:43, -72, -80, 6, WPA2-Personal, b/g/n,[Hidden SSID] ,86-45-58-21-19-9E,
8783,11/10/2566 BE 17:22:00, -73, -85, 6, WPA2-Personal, b/g/n,[Hidden SSID] ,86-45-58-21-19-9E,
8784,11/10/2566 BE 17:42:39,-73,-75,1, WPA2-Enterprise, g/n,[Hidden SSID] ,58-97-1E-56-56-24,
8785,11/10/2566 BE 17:42:26,-73,-75,1, WPA2-Enterprise, g/n,[Hidden SSID] ,58-97-1E-56-56-24,
8786,11/10/2566 BE 17:42:13,-73,-75,1, WPA2-Enterprise, g/n,[Hidden SSID] ,58-97-1E-56-56-24,
8787,11/10/2566 BE 17:42:01,-74,-76,1, WPA2-Enterprise, g/n,[Hidden SSID] ,58-97-1E-56-56-24,
8788,11/10/2566 BE 17:39:24, -88, -96, 40, WPA2-Personal, ac,Warrane Guest ,86-45-58-1E-F4-AE,
8789,11/10/2566 BE 17:39:11, -88, -96, 40, WPA2-Personal, ac,Warrane Guest ,86-45-58-1E-F4-AE,
8790,11/10/2566 BE 17:38:58, -88, -96, 40, WPA2-Personal, ac,Warrane Guest ,86-45-58-1E-F4-AE,
8791,11/10/2566 BE 17:31:04, -82, -94, 40, WPA2-Personal, ac,Warrane Guest ,86-45-58-1E-F4-AE,
8792,11/10/2566 BE 17:30:51, -82, -94, 40, WPA2-Personal, ac,Warrane Guest ,86-45-58-1E-F4-AE,
8793,11/10/2566 BE 17:30:38, -82, -94, 40, WPA2-Personal, ac,Warrane Guest ,86-45-58-1E-F4-AE,
8794,11/10/2566 BE 17:30:24, -82, -93, 40, WPA2-Personal, ac,Warrane Guest ,86-45-58-1E-F4-AE,
8795,11/10/2566 BE 17:30:11, -82, -93, 40, WPA2-Personal, ac,Warrane Guest ,86-45-58-1E-F4-AE,
8796,11/10/2566 BE 17:29:58, -82, -93, 40, WPA2-Personal, ac,Warrane Guest ,86-45-58-1E-F4-AE,
8797,11/10/2566 BE 17:29:45, -85, -92, 40, WPA2-Personal, ac,Warrane Guest ,86-45-58-1E-F4-AE,
8798,11/10/2566 BE 17:29:32, -83, -94, 40, WPA2-Personal, ac,Warrane Guest ,86-45-58-1E-F4-AE,
8799,11/10/2566 BE 17:29:19, -84, -95, 40, WPA2-Personal, ac,Warrane Guest ,86-45-58-1E-F4-AE,
8800,11/10/2566 BE 17:29:06, -79, -94, 40, WPA2-Personal, ac,Warrane Guest ,86-45-58-1E-F4-AE,
8801,11/10/2566 BE 17:28:56, -79, -94, 40, WPA2-Personal, ac,Warrane Guest ,86-45-58-1E-F4-AE,
8802,11/10/2566 BE 17:28:43, -79, -94, 40, WPA2-Personal, ac,Warrane Guest ,86-45-58-1E-F4-AE,
8803,11/10/2566 BE 17:22:43, -89, -96, 40, WPA2-Personal, ac,Warrane Guest ,86-45-58-1E-F4-AE,
8804,11/10/2566 BE 17:21:11, -79, -94, 40, WPA2-Personal, ac,Warrane Guest ,86-45-58-1E-F4-AE,
8805,11/10/2566 BE 17:20:58, -71, -94, 40, WPA2-Personal, ac,Warrane Guest ,86-45-58-1E-F4-AE,
8806,11/10/2566 BE 17:20:46, -77, -95, 40, WPA2-Personal, ac,Warrane Guest ,86-45-58-1E-F4-AE,
8807,11/10/2566 BE 17:20:34, -73, -96, 40, WPA2-Personal, ac,Warrane Guest ,86-45-58-1E-F4-AE,
8808,11/10/2566 BE 17:20:21, -73, -96, 40, WPA2-Personal, ac,Warrane Guest ,86-45-58-1E-F4-AE,
8809,11/10/2566 BE 17:20:09, -73, -96, 40, WPA2-Personal, ac,Warrane Guest ,86-45-58-1E-F4-AE,
8810,11/10/2566 BE 17:18:42, -80, -88, 6, Open, g/n,UNSW Guest ,08-CC-68-B5-D4-13,
8811,11/10/2566 BE 17:42:13, -90, -95, 149, WPA2/WPA3-Personal, ax,iPhone ,06-9B-93-98-CA-3C,
8812,11/10/2566 BE 17:42:01, -90, -95, 149, WPA2/WPA3-Personal, ax,iPhone ,06-9B-93-98-CA-3C,
8813,11/10/2566 BE 17:41:48, -90, -95, 149, WPA2/WPA3-Personal, ax,iPhone ,06-9B-93-98-CA-3C,
8814,11/10/2566 BE 17:40:41, -88, -93, 132, WPA2-Enterprise, ac,uniwide ,08-CC-68-B4-A2-3F,
8815,11/10/2566 BE 17:40:28, -88, -93, 132, WPA2-Enterprise, ac,uniwide ,08-CC-68-B4-A2-3F,
8816,11/10/2566 BE 17:38:16, -91, -94, 100, WPA2-Enterprise, ac,[Hidden SSID] ,08-CC-68-B5-BD-FA,
8817,11/10/2566 BE 17:38:03, -91, -94, 100, WPA2-Enterprise, ac,[Hidden SSID] ,08-CC-68-B5-BD-FA,
8818,11/10/2566 BE 17:33:46, -86, -95, 100, WPA2-Enterprise, ac,[Hidden SSID] ,08-CC-68-B5-BD-FA,
8819,11/10/2566 BE 17:33:33, -86, -95, 100, WPA2-Enterprise, ac,[Hidden SSID] ,08-CC-68-B5-BD-FA,
8820,11/10/2566 BE 17:33:20, -86, -95, 100, WPA2-Enterprise, ac,[Hidden SSID] ,08-CC-68-B5-BD-FA,
8821,11/10/2566 BE 17:21:11, -90, -95, 56, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-0D-6A-13,
8822,11/10/2566 BE 17:20:58, -90, -95, 56, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-0D-6A-13,
8823,11/10/2566 BE 17:20:46, -90, -95, 56, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-0D-6A-13,
8824,11/10/2566 BE 17:20:34, -85, -96, 56, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-0D-6A-13,
8825,11/10/2566 BE 17:31:29, -87, -92, 44, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-9A-5B,
8826,11/10/2566 BE 17:31:16, -87, -92, 44, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-9A-5B,
8827,11/10/2566 BE 17:27:15, -92, -93, 44, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-9A-5B,
8828,11/10/2566 BE 17:27:02, -92, -93, 44, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-9A-5B,
8829,11/10/2566 BE 17:26:50, -92, -93, 44, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-9A-5B,
8830,11/10/2566 BE 17:38:58, -78, -94, 64, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B5-8C-BB,
8831,11/10/2566 BE 17:38:46, -78, -94, 64, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B5-8C-BB,
8832,11/10/2566 BE 17:25:07, -76, -81, 11, WPA2-Personal, b/g/n,AT_401_RAC_056905_WW_92a2 ,DE-03-98-C7-92-A2,
8833,11/10/2566 BE 17:24:55, -76, -81, 11, WPA2-Personal, b/g/n,AT_401_RAC_056905_WW_92a2 ,DE-03-98-C7-92-A2,
8834,11/10/2566 BE 17:24:42, -76, -81, 11, WPA2-Personal, b/g/n,AT_401_RAC_056905_WW_92a2 ,DE-03-98-C7-92-A2,
8835,11/10/2566 BE 17:15:56, -88, -95, 64, WPA2-Enterprise, ac,uniwide ,08-CC-68-B4-A6-7E,
8836,11/10/2566 BE 17:15:43, -88, -95, 64, WPA2-Enterprise, ac,uniwide ,08-CC-68-B4-A6-7E,
8837,11/10/2566 BE 17:15:31, -88, -95, 64, WPA2-Enterprise, ac,uniwide ,08-CC-68-B4-A6-7E,
8838,11/10/2566 BE 17:42:13, -84, -94, 64, Open, ac,UNSW Guest ,1C-E6-C7-0D-72-A4,
8839,11/10/2566 BE 17:42:01, -84, -94, 64, Open, ac,UNSW Guest ,1C-E6-C7-0D-72-A4,
8840,11/10/2566 BE 17:41:48, -84, -94, 64, Open, ac,UNSW Guest ,1C-E6-C7-0D-72-A4,
8841,11/10/2566 BE 17:41:32, -72, -93, 64, Open, ac,UNSW Guest ,1C-E6-C7-0D-72-A4,
8842,11/10/2566 BE 17:41:07, -80, -95, 64, Open, ac,UNSW Guest ,1C-E6-C7-0D-72-A4,
8843,11/10/2566 BE 17:40:54, -80, -95, 64, Open, ac,UNSW Guest ,1C-E6-C7-0D-72-A4,
8844,11/10/2566 BE 17:39:24, -76, -92, 132, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B5-D7-8B,
8845,11/10/2566 BE 17:39:11, -76, -92, 132, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B5-D7-8B,
8846,11/10/2566 BE 17:38:58, -76, -92, 132, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B5-D7-8B,
8847,11/10/2566 BE 17:38:46, -74, -95, 132, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B5-D7-8B,
8848,11/10/2566 BE 17:38:29, -79, -95, 132, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B5-D7-8B,
8849,11/10/2566 BE 17:32:15, -79, -93, 132, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B5-D7-8B,
8850,11/10/2566 BE 17:31:59, -79, -93, 132, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B5-D7-8B,
8851,11/10/2566 BE 17:31:45, -78, -92, 132, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B5-D7-8B,
8852,11/10/2566 BE 17:31:29, -79, -93, 132, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B5-D7-8B,
8853,11/10/2566 BE 17:31:16, -89, -96, 132, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B5-D7-8B,
8854,11/10/2566 BE 17:18:14, -86, -87, 1, Open, g/n,UNSW Guest ,F0-9E-63-1C-B4-62,
8855,11/10/2566 BE 17:18:01, -86, -87, 1, Open, g/n,UNSW Guest ,F0-9E-63-1C-B4-62,
8856,11/10/2566 BE 17:17:48, -86, -87, 1, Open, g/n,UNSW Guest ,F0-9E-63-1C-B4-62,
8857,11/10/2566 BE 17:17:35, -83, -88, 1, Open, g/n,UNSW Guest ,F0-9E-63-1C-B4-62,
8858,11/10/2566 BE 17:15:56, -84, -87, 1, Open, g/n,UNSW Guest ,F0-9E-63-1C-B4-62,
8859,11/10/2566 BE 17:15:43, -84, -87, 1, Open, g/n,UNSW Guest ,F0-9E-63-1C-B4-62,
8860,11/10/2566 BE 17:15:31, -84, -87, 1, Open, g/n,UNSW Guest ,F0-9E-63-1C-B4-62,
8861,11/10/2566 BE 17:19:20,-77,-89,11, WPA2-Enterprise, g/n,Global_Students ,58-97-1E-56-4C-74,
8862,11/10/2566 BE 17:19:07,-77,-89,11, WPA2-Enterprise, g/n,Global_Students ,58-97-1E-56-4C-74,
8863,11/10/2566 BE 17:18:55,-77,-89,11, WPA2-Enterprise, g/n,Global_Students ,58-97-1E-56-4C-74,
8864,11/10/2566 BE 17:33:08, -92, -91, 40, Open, ac,UNSW Guest ,08-CC-68-B5-C7-2C,
8865,11/10/2566 BE 17:32:55, -92, -91, 40, Open, ac,UNSW Guest ,08-CC-68-B5-C7-2C,
8866,11/10/2566 BE 17:32:40, -92, -91, 40, Open, ac,UNSW Guest ,08-CC-68-B5-C7-2C,
8867,11/10/2566 BE 17:31:59, -69, -84, 11, WPA2-Enterprise, g/n,eduroam ,08-CC-68-B5-F3-90,
8868,11/10/2566 BE 17:33:08, -86, -95, 36, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-5B-21-6F,
8869,11/10/2566 BE 17:32:55, -86, -95, 36, WPA2-Enterprise, a/n,eduroam ,1C-E6-C7-5B-21-6F,
8870,11/10/2566 BE 17:15:56, -83, -85, 11, WPA2-Personal, g/n,[Hidden SSID] ,F0-9E-63-14-94-64,
