1696472653,3.364
1696472777,5.267
1696472814,34.447
1696472844,3.883
1696472989,7.911
1696473020,10.918
1696473050,7.366
1696473080,9.256
1696473301,13.662
1696473331,17.324
1696473361,16.719
1696473436,10.066
1696473467,11.962
1696473497,4285.468
1696473607,3.331
1696473677,63.086
1696473781,6.303
1696473842,5.696
1696473873,7.558
1696473903,29.702
1696473933,135.334
1696473963,7.742
1696473993,6.367
1696474034,5.788
1696474078,6.129
1696474108,229.396
1696474187,18.985
1696474217,908.442
1696474248,3.361
1696474333,5.071
1696474374,7.075
1696474385,27.851
